,Key,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
0,0,1,,Afghanistan,2020-01-21 16:00:00,0.0,0.0
1,0,2,,Afghanistan,2020-01-22 16:00:00,0.0,0.0
2,0,3,,Afghanistan,2020-01-23 16:00:00,0.0,0.0
3,0,4,,Afghanistan,2020-01-24 16:00:00,0.0,0.0
4,0,5,,Afghanistan,2020-01-25 16:00:00,0.0,0.0
5,0,6,,Afghanistan,2020-01-26 16:00:00,0.0,0.0
6,0,7,,Afghanistan,2020-01-27 16:00:00,0.0,0.0
7,0,8,,Afghanistan,2020-01-28 16:00:00,0.0,0.0
8,0,9,,Afghanistan,2020-01-29 16:00:00,0.0,0.0
9,0,10,,Afghanistan,2020-01-30 16:00:00,0.0,0.0
10,0,11,,Afghanistan,2020-01-31 16:00:00,0.0,0.0
11,0,12,,Afghanistan,2020-02-01 16:00:00,0.0,0.0
12,0,13,,Afghanistan,2020-02-02 16:00:00,0.0,0.0
13,0,14,,Afghanistan,2020-02-03 16:00:00,0.0,0.0
14,0,15,,Afghanistan,2020-02-04 16:00:00,0.0,0.0
15,0,16,,Afghanistan,2020-02-05 16:00:00,0.0,0.0
16,0,17,,Afghanistan,2020-02-06 16:00:00,0.0,0.0
17,0,18,,Afghanistan,2020-02-07 16:00:00,0.0,0.0
18,0,19,,Afghanistan,2020-02-08 16:00:00,0.0,0.0
19,0,20,,Afghanistan,2020-02-09 16:00:00,0.0,0.0
20,0,21,,Afghanistan,2020-02-10 16:00:00,0.0,0.0
21,0,22,,Afghanistan,2020-02-11 16:00:00,0.0,0.0
22,0,23,,Afghanistan,2020-02-12 16:00:00,0.0,0.0
23,0,24,,Afghanistan,2020-02-13 16:00:00,0.0,0.0
24,0,25,,Afghanistan,2020-02-14 16:00:00,0.0,0.0
25,0,26,,Afghanistan,2020-02-15 16:00:00,0.0,0.0
26,0,27,,Afghanistan,2020-02-16 16:00:00,0.0,0.0
27,0,28,,Afghanistan,2020-02-17 16:00:00,0.0,0.0
28,0,29,,Afghanistan,2020-02-18 16:00:00,0.0,0.0
29,0,30,,Afghanistan,2020-02-19 16:00:00,0.0,0.0
30,0,31,,Afghanistan,2020-02-20 16:00:00,0.0,0.0
31,0,32,,Afghanistan,2020-02-21 16:00:00,0.0,0.0
32,0,33,,Afghanistan,2020-02-22 16:00:00,0.0,0.0
33,0,34,,Afghanistan,2020-02-23 16:00:00,1.0,0.0
34,0,35,,Afghanistan,2020-02-24 16:00:00,1.0,0.0
35,0,36,,Afghanistan,2020-02-25 16:00:00,1.0,0.0
36,0,37,,Afghanistan,2020-02-26 16:00:00,1.0,0.0
37,0,38,,Afghanistan,2020-02-27 16:00:00,1.0,0.0
38,0,39,,Afghanistan,2020-02-28 16:00:00,1.0,0.0
39,0,40,,Afghanistan,2020-02-29 16:00:00,1.0,0.0
